,HPO ID,Phenotype name,No. occurrences,Earliness (lower = earlier),Example sentence
16,HP:0000365,Hearing impairment,4,35,since then several clinical conditions associated with mutations in mitochondrial arss and cytosolic arss whereas mutations in lars mim cause infantile acute liver failure syndrome type 1 mim mars mim cause interstitial lung and liver disease mim br br mutations in cytosolic iars mim the affected calves exhibit prenatal onset growth retardation severe muscle weakness with astasia and fatty degeneration of liver cells br here we report the identification of biallelic mutations in iars in three unrelated individuals with a complex multisystemic phenotype of prenatal onset growth retardation 3 3 intellectual disability 3 3 muscular hypotonia 2 3 and hepatopathy with fibrosis and steatosis 2 3 aswell as diabetes mellitus and sensorineural hearing loss 1 3 
17,HP:0003623,Neonatal onset,4,58,p val370gly asn992asp prenatal iugr yes 6 2 moderate intellectual and motor disability muscular hypotoniarecurrent liver crises triggered by infections infantile liver failure neonatal onset steatosis fibrosis cholestasis peculiar facial distribution of subcutaneous fat chubby cheeks feeding through peg zinc deficiency 6 1mol l 
18,HP:0001406,Intrahepatic cholestasis,4,236,heterozygous abcb11 mutations are implicated as predisposing to intrahepatic cholestasis of pregnancy and to transient neonatal cholestasis 
19,HP:0011010,Chronic,4,260,could be explained by chronic liver disease at least in individuals aut and jpn because chronic liver disease is known to be associated with zinc deficiency br in recent years whole exome sequencing studies haverevealed various causes of infantile liver failure with partly specific clinical phenotypes including mutations in lars nbas mim br scyl1 mim and now iars 
20,HP:0001272,Cerebellar atrophy,4,825,mutations in qars encoding glutaminyl trna synthetase cause progressive microcephaly cerebral cerebellar atrophy and intractable seizuresam 
21,HP:0001324,Muscle weakness,2,27,since then several clinical conditions associated with mutations in mitochondrial arss and cytosolic arss whereas mutations in lars mim cause infantile acute liver failure syndrome type 1 mim mars mim cause interstitial lung and liver disease mim br br mutations in cytosolic iars mim the affected calves exhibit prenatal onset growth retardation severe muscle weakness with astasia and fatty degeneration of liver cells br here we report the identification of biallelic mutations in iars in three unrelated individuals with a complex multisystemic phenotype of prenatal onset growth retardation 3 3 intellectual disability 3 3 muscular hypotonia 2 3 and hepatopathy with fibrosis and steatosis 2 3 aswell as diabetes mellitus and sensorineural hearing loss 1 3 
22,HP:0020037,Astasia,2,27,since then several clinical conditions associated with mutations in mitochondrial arss and cytosolic arss whereas mutations in lars mim cause infantile acute liver failure syndrome type 1 mim mars mim cause interstitial lung and liver disease mim br br mutations in cytosolic iars mim the affected calves exhibit prenatal onset growth retardation severe muscle weakness with astasia and fatty degeneration of liver cells br here we report the identification of biallelic mutations in iars in three unrelated individuals with a complex multisystemic phenotype of prenatal onset growth retardation 3 3 intellectual disability 3 3 muscular hypotonia 2 3 and hepatopathy with fibrosis and steatosis 2 3 aswell as diabetes mellitus and sensorineural hearing loss 1 3 
23,HP:0001252,Muscular hypotonia,2,31,since then several clinical conditions associated with mutations in mitochondrial arss and cytosolic arss whereas mutations in lars mim cause infantile acute liver failure syndrome type 1 mim mars mim cause interstitial lung and liver disease mim br br mutations in cytosolic iars mim the affected calves exhibit prenatal onset growth retardation severe muscle weakness with astasia and fatty degeneration of liver cells br here we report the identification of biallelic mutations in iars in three unrelated individuals with a complex multisystemic phenotype of prenatal onset growth retardation 3 3 intellectual disability 3 3 muscular hypotonia 2 3 and hepatopathy with fibrosis and steatosis 2 3 aswell as diabetes mellitus and sensorineural hearing loss 1 3 
24,HP:0001290,Generalized hypotonia,2,31,since then several clinical conditions associated with mutations in mitochondrial arss and cytosolic arss whereas mutations in lars mim cause infantile acute liver failure syndrome type 1 mim mars mim cause interstitial lung and liver disease mim br br mutations in cytosolic iars mim the affected calves exhibit prenatal onset growth retardation severe muscle weakness with astasia and fatty degeneration of liver cells br here we report the identification of biallelic mutations in iars in three unrelated individuals with a complex multisystemic phenotype of prenatal onset growth retardation 3 3 intellectual disability 3 3 muscular hypotonia 2 3 and hepatopathy with fibrosis and steatosis 2 3 aswell as diabetes mellitus and sensorineural hearing loss 1 3 
25,HP:0001319,Neonatal hypotonia,2,31,since then several clinical conditions associated with mutations in mitochondrial arss and cytosolic arss whereas mutations in lars mim cause infantile acute liver failure syndrome type 1 mim mars mim cause interstitial lung and liver disease mim br br mutations in cytosolic iars mim the affected calves exhibit prenatal onset growth retardation severe muscle weakness with astasia and fatty degeneration of liver cells br here we report the identification of biallelic mutations in iars in three unrelated individuals with a complex multisystemic phenotype of prenatal onset growth retardation 3 3 intellectual disability 3 3 muscular hypotonia 2 3 and hepatopathy with fibrosis and steatosis 2 3 aswell as diabetes mellitus and sensorineural hearing loss 1 3 
26,HP:0000407,Sensorineural hearing impairment,2,35,since then several clinical conditions associated with mutations in mitochondrial arss and cytosolic arss whereas mutations in lars mim cause infantile acute liver failure syndrome type 1 mim mars mim cause interstitial lung and liver disease mim br br mutations in cytosolic iars mim the affected calves exhibit prenatal onset growth retardation severe muscle weakness with astasia and fatty degeneration of liver cells br here we report the identification of biallelic mutations in iars in three unrelated individuals with a complex multisystemic phenotype of prenatal onset growth retardation 3 3 intellectual disability 3 3 muscular hypotonia 2 3 and hepatopathy with fibrosis and steatosis 2 3 aswell as diabetes mellitus and sensorineural hearing loss 1 3 
27,HP:0008527,Congenital sensorineural hearing impairment,2,35,since then several clinical conditions associated with mutations in mitochondrial arss and cytosolic arss whereas mutations in lars mim cause infantile acute liver failure syndrome type 1 mim mars mim cause interstitial lung and liver disease mim br br mutations in cytosolic iars mim the affected calves exhibit prenatal onset growth retardation severe muscle weakness with astasia and fatty degeneration of liver cells br here we report the identification of biallelic mutations in iars in three unrelated individuals with a complex multisystemic phenotype of prenatal onset growth retardation 3 3 intellectual disability 3 3 muscular hypotonia 2 3 and hepatopathy with fibrosis and steatosis 2 3 aswell as diabetes mellitus and sensorineural hearing loss 1 3 
28,HP:0002342,"Intellectual disability, moderate",2,55,p arg254 pro437leu prenatal iugr yes 6 2 moderate intellectual disability iq 50 motor function normalelevated alat and asat neonatal onset steatosis fibrosis sensoneurinal hearing loss ao 5 years diabetes mellitus ao 16 years epilepsy zinc deficiency 7 5mol l 
29,HP:0001250,Seizure,2,61,p arg254 pro437leu prenatal iugr yes 6 2 moderate intellectual disability iq 50 motor function normalelevated alat and asat neonatal onset steatosis fibrosis sensoneurinal hearing loss ao 5 years diabetes mellitus ao 16 years epilepsy zinc deficiency 7 5mol l 
30,HP:0000271,Abnormality of the face,2,70,p val370gly asn992asp prenatal iugr yes 6 2 moderate intellectual and motor disability muscular hypotoniarecurrent liver crises triggered by infections infantile liver failure neonatal onset steatosis fibrosis cholestasis peculiar facial distribution of subcutaneous fat chubby cheeks feeding through peg zinc deficiency 6 1mol l 
31,HP:0000291,Abnormality of facial adipose tissue,2,70,p val370gly asn992asp prenatal iugr yes 6 2 moderate intellectual and motor disability muscular hypotoniarecurrent liver crises triggered by infections infantile liver failure neonatal onset steatosis fibrosis cholestasis peculiar facial distribution of subcutaneous fat chubby cheeks feeding through peg zinc deficiency 6 1mol l 
32,HP:0000293,Full cheeks,2,70,p val370gly asn992asp prenatal iugr yes 6 2 moderate intellectual and motor disability muscular hypotoniarecurrent liver crises triggered by infections infantile liver failure neonatal onset steatosis fibrosis cholestasis peculiar facial distribution of subcutaneous fat chubby cheeks feeding through peg zinc deficiency 6 1mol l 
33,HP:0004426,Abnormality of the cheek,2,70,p val370gly asn992asp prenatal iugr yes 6 2 moderate intellectual and motor disability muscular hypotoniarecurrent liver crises triggered by infections infantile liver failure neonatal onset steatosis fibrosis cholestasis peculiar facial distribution of subcutaneous fat chubby cheeks feeding through peg zinc deficiency 6 1mol l 
34,HP:0003674,Onset,2,79,ao age of onset 
35,HP:0004325,Decreased body weight,2,91,birth weight and head circumference were low weight 2 020 g 3 0 sds 
36,HP:0040195,Decreased head circumference,2,91,birth weight and head circumference were low weight 2 020 g 3 0 sds 
37,HP:0001263,Global developmental delay,2,178,upon iars downregulation embryonic development is generally delayed with embryos exhibiting altered brain configuration and severe shortening of the posterior body axis 
38,HP:0012443,Abnormality of brain morphology,2,249,interestingly deficiencies of lars and mars also are known to cause hepatopathy an important role for iars in zebrafish brain development is consonant with the abnormalities of brain function in the subjects of this study br dars mim whereas microcephaly is reminiscent of the phenotype seen in individuals with mutations in qars mim 
39,HP:0003202,Skeletal muscle atrophy,2,377,glycyl trna synthetase mutations in charcot marie tooth disease type 2d and distal spinal muscular atrophy type vam 
40,HP:0003693,Distal amyotrophy,2,377,glycyl trna synthetase mutations in charcot marie tooth disease type 2d and distal spinal muscular atrophy type vam 
41,HP:0007269,Spinal muscular atrophy,2,377,glycyl trna synthetase mutations in charcot marie tooth disease type 2d and distal spinal muscular atrophy type vam 
42,HP:0006517,Alveolar proteinosis,2,464,biallelic mutations of methionyl trna synthetase cause a specific type of pulmonary alveolar proteinosis prevalent on reunion islandam 
43,HP:0003429,CNS hypomyelination,2,761,mutations in dars cause hypomyelination with brain stem and spinal cord involvement and leg spasticityam 
44,HP:0006808,Cerebral hypomyelination,2,761,mutations in dars cause hypomyelination with brain stem and spinal cord involvement and leg spasticityam 
45,HP:0002352,Leukoencephalopathy,2,795,vanderverdars associated leukoencephalopathy can mimic a steroid responsive neuroinflammatory disorderneurology 84 2015 pp 
46,HP:0000253,Progressive microcephaly,2,824,mutations in qars encoding glutaminyl trna synthetase cause progressive microcephaly cerebral cerebellar atrophy and intractable seizuresam 
47,HP:0002059,Cerebral atrophy,2,825,mutations in qars encoding glutaminyl trna synthetase cause progressive microcephaly cerebral cerebellar atrophy and intractable seizuresam 
48,HP:0011009,Acute,2,958,biallelic mutations in nbas cause recurrent acute liver failure with onset in infancyam 
49,HP:0006903,Congenital peripheral neuropathy,2,1014,bittnerdisruptive scyl1 mutations underlie a syndrome characterized by recurrent episodes of liver failure peripheral neuropathy cerebellar atrophy and ataxiaam 
