end|hp_id|index|line|score|start
32.0|HP:0006580|2.0|I Fibrosis in and between portal spaces (arrows) (Masson trichrome stain, 100).|1|2.0
55.0|HP:0006580|3.0|II Multiple new vessels in periphery of portal fibrosis (arrows) (CD34 immunostain, 100).|1|40.0
42.0|HP:0001388|8.0|(b) Photographs demonstrating joint laxity and skin hyperelasticity.|1|30.0
51.0|HP:0000973|8.0|(b) Photographs demonstrating joint laxity and skin hyperelasticity.|1|36.0
67.0|HP:0000974|8.0|(b) Photographs demonstrating joint laxity and skin hyperelasticity.|1|47.0
117.0|HP:0001382|9.0|I passive dorsiflexion of the right thumb beyond the flexor aspect of the forearm consistent with joint hypermobility.|1|98.0
14.0|HP:0004279|10.0|II Short hands squared distal fingers and 5th finger clinodactyly.|1|3.0
65.0|HP:0004209|10.0|II Short hands squared distal fingers and 5th finger clinodactyly.|1|42.0
85.0|HP:0010647|11.0|III The skin of the lower arm is easily stretched indicating abnormal skin elasticity.|1|61.0
18.0|HP:0032321|14.0|The two unaffected sisters did not carry both variants.|1|8.0
