,HPO ID,Phenotype name,No. occurrences,Earliness (lower = earlier),Example sentence
11,HP:0000023,Inguinal hernia,5,230, td td thoracic kyphosis and bl inguinal hernia td td delayed puberty and recurrent sinusitis td tr tr td xviia td td mat td td f td td 2 td td hypotonia and feeding difficulties 
12,HP:0012828,Severe,5,289, td td frequent otisis media gh deficiency and limitation of joint mobility td tr tr td vii td td dn td td f td td 12 td td sga hypotonia and feeding difficulties td td y td td y td td y td td y td td mod td td emotional problems and hypotonia td td tricuspid valve dysplasia 2 3 4 fingers and 2 3 toes syndactyly td td bl severe snhl and dorsal hypertrichosis td tr tr td viii td td dn td td m td td 7 td td sga hypotonia and feeding difficulties td td y td td n td td y td td y td td sev td td thin cc septum pellucidum cyst megacisterna magna mild ventricular dilation and subependymal heterotopia td td bl clap vsd lt extra nipple hypospadias ul cryptorchidism and sacral dimple td td cutis marmorata 
13,HP:0000729,Autistic behavior,5,338,5 td tr tr td xxi td td pat td td m td td 4 td td feeding difficulties td td n td td y td td y td td y td td mod td td asd and hypotonia td td n td td hypermobile joints 
14,HP:0001263,Global developmental delay,4,21,dd developmental delay 
15,HP:0000118,Phenotypic abnormality,4,23, div class dropblock reference citations sup sup div class dropblock holder data db target of bib1 d1601794e1760 div div they range from isolated internal organ malformations and intellectual disability to complex syndromic presentations 
16,HP:0000445,Wide nose,4,29,collectively in this cohort of 33 individuals from 25 unrelated families we observed a high frequency of developmental delay apparent intellectual disability internal organ malformations affecting heart kidneys spine and palate among others growth retardation and facial dysmorphism interrupted eyebrows dense eyelashes wide nose wide mouth and a prominent chin a 
17,HP:0000303,Mandibular prognathia,4,32,we describe heterozygous em actb em deletions and nonsense and frameshift mutations in 33 individuals with developmental delay apparent intellectual disability increased frequency of internal organ malformations including those of the heart and the renal tract growth retardation and a recognizable facial gestalt interrupted wavy eyebrows dense eyelashes wide nose wide mouth and a prominent chin that is distinct from characteristics of individuals with brws 
18,HP:0000085,Horseshoe kidney,4,228, td td scoliosis td td glaucoma asthma and eczema td tr tr td class rowsep ivb td td class rowsep u td td class rowsep f td td class rowsep 68 td td class rowsep u td td class rowsep u td td class rowsep u td td class rowsep u td td class rowsep u td td class rowsep mild td td class rowsep u td td class rowsep horseshoe kidney with multiple cysts td td class rowsep hiatus hernia td tr tr td class rowsep colspan 13 strong validation cohort strong td tr tr td v td td dn td td f td td 13 td td sga and feeding difficulties td td y td td n td td y td td y td td mod td td sociable personality mild ventriculomegaly and multifocal small t2 hyperintensitites in the cerebral white matter td td vsd pda bl 5th finger clinodactyly bl 2 3 amp 
19,HP:0000028,Cryptorchidism,4,229,those males who lacked overt renal malformations still had a high frequency of anomalies such as inguinal hernias hypospadias micropenis urethral cyst and cryptorchidism 
20,HP:0030084,Clinodactyly,4,271, td td short and broad uvula broad halluces short distal phalanx of finger and toes small nails and 5th finger clinodactyly 
21,HP:0000365,Hearing impairment,3,14,hl hearing loss 
22,HP:0001627,Abnormal heart morphology,3,23, div class dropblock reference citations sup sup div class dropblock holder data db target of bib25 d1601794e2018 div div div div class section paragraph congenital cardiac anomalies such as ventricular and atrial septal defects sub aortic stenosis tortuous arch total anomalous pulmonary venous drainage patent ductus arteriosus tricuspid valve dysplasia and ventricular dilatation were observed in 11 out of 22 50 individuals who were investigated by echocardiogram or post mortem examination 
23,HP:0001510,Growth delay,3,25,we describe heterozygous em actb em deletions and nonsense and frameshift mutations in 33 individuals with developmental delay apparent intellectual disability increased frequency of internal organ malformations including those of the heart and the renal tract growth retardation and a recognizable facial gestalt interrupted wavy eyebrows dense eyelashes wide nose wide mouth and a prominent chin that is distinct from characteristics of individuals with brws 
24,HP:0000960,Sacral dimple,3,200,several affected individuals in this cohort demonstrated overlapping toes small nails and spinal anomalies such as sacral dimples 
25,HP:0001250,Seizure,3,227,seizures were reported in a minor subset of individuals and one individual had dystonia 
26,HP:0002099,Asthma,3,242, td td gor asthma and allergies 
27,HP:0000107,Renal cyst,3,265, td td scoliosis td td glaucoma asthma and eczema td tr tr td class rowsep ivb td td class rowsep u td td class rowsep f td td class rowsep 68 td td class rowsep u td td class rowsep u td td class rowsep u td td class rowsep u td td class rowsep u td td class rowsep mild td td class rowsep u td td class rowsep horseshoe kidney with multiple cysts td td class rowsep hiatus hernia td tr tr td class rowsep colspan 13 strong validation cohort strong td tr tr td v td td dn td td f td td 13 td td sga and feeding difficulties td td y td td n td td y td td y td td mod td td sociable personality mild ventriculomegaly and multifocal small t2 hyperintensitites in the cerebral white matter td td vsd pda bl 5th finger clinodactyly bl 2 3 amp 
28,HP:0000964,Eczema,3,265, td td scoliosis td td glaucoma asthma and eczema td tr tr td class rowsep ivb td td class rowsep u td td class rowsep f td td class rowsep 68 td td class rowsep u td td class rowsep u td td class rowsep u td td class rowsep u td td class rowsep u td td class rowsep mild td td class rowsep u td td class rowsep horseshoe kidney with multiple cysts td td class rowsep hiatus hernia td tr tr td class rowsep colspan 13 strong validation cohort strong td tr tr td v td td dn td td f td td 13 td td sga and feeding difficulties td td y td td n td td y td td y td td mod td td sociable personality mild ventriculomegaly and multifocal small t2 hyperintensitites in the cerebral white matter td td vsd pda bl 5th finger clinodactyly bl 2 3 amp 
29,HP:0004209,Clinodactyly of the 5th finger,3,271, td td short and broad uvula broad halluces short distal phalanx of finger and toes small nails and 5th finger clinodactyly 
30,HP:0040019,Finger clinodactyly,3,271, td td short and broad uvula broad halluces short distal phalanx of finger and toes small nails and 5th finger clinodactyly 
31,HP:0001159,Syndactyly,3,273,lt 3 4 toe syndactyly td td n td tr tr td vi td td u td td m td td 20 td td n td td y td td n td td n td td y td td mild td td stress intolerance 
32,HP:0001770,Toe syndactyly,3,273,lt 3 4 toe syndactyly td td n td tr tr td vi td td u td td m td td 20 td td n td td y td td n td td n td td y td td mild td td stress intolerance 
33,HP:0002282,Gray matter heterotopia,3,296, td td frequent otisis media gh deficiency and limitation of joint mobility td tr tr td vii td td dn td td f td td 12 td td sga hypotonia and feeding difficulties td td y td td y td td y td td y td td mod td td emotional problems and hypotonia td td tricuspid valve dysplasia 2 3 4 fingers and 2 3 toes syndactyly td td bl severe snhl and dorsal hypertrichosis td tr tr td viii td td dn td td m td td 7 td td sga hypotonia and feeding difficulties td td y td td n td td y td td y td td sev td td thin cc septum pellucidum cyst megacisterna magna mild ventricular dilation and subependymal heterotopia td td bl clap vsd lt extra nipple hypospadias ul cryptorchidism and sacral dimple td td cutis marmorata 
34,HP:0000486,Strabismus,3,376, td td bl hl td tr tr td xixb td td mat td td f td td 5 td td sga td td n td td y td td y td td y td td mild td td n td td atrial septal defect sacro coccygeal sinus and tethering of spinal cord td td bl hl td tr tr td xixc td td mat td td m td td 2 td td n td td n td td n td td y td td y td td mod td td n td td vsd horseshoe kidney vur and hydronephrosis td td bl hl and rt eye strabismus td tr tr td xixd td td u td td f td td 37 td td n td td n td td n td td n td td n td td mild td td n td td n td td n td tr tr td xxa twin i td td mat td td f td td 4 td td rowspan 2 born at 26 week gestation oligohydramnios and dizygotic twins 
35,HP:0001332,Dystonia,3,415,seizures were reported in a minor subset of individuals and one individual had dystonia 
36,HP:0000407,Sensorineural hearing impairment,2,14,snhl sensorineural hearing loss 
37,HP:0008527,Congenital sensorineural hearing impairment,2,14,snhl sensorineural hearing loss 
38,HP:0001999,Abnormal facial shape,2,182,collectively in this cohort of 33 individuals from 25 unrelated families we observed a high frequency of developmental delay apparent intellectual disability internal organ malformations affecting heart kidneys spine and palate among others growth retardation and facial dysmorphism interrupted eyebrows dense eyelashes wide nose wide mouth and a prominent chin a 
39,HP:0001845,Overlapping toe,2,197, td td class rowsep unilateral renal agenesis ectopic testis rectal stenosis umbilical hernia high palate kyphosis and scoliosis td td class rowsep n td tr tr td class rowsep colspan 13 strong point mutations strong td tr tr td xxiv td td dn td td m td td 12 td td feeding difficulties td td y td td y td td y td td n td td mod td td hyperactivity and dystonia td td tracheesophageal fistula esophageal atresia overlapping toes short foot and tapered fingers and pectus excavatum 
40,HP:0001792,Small nail,2,198,several affected individuals in this cohort demonstrated overlapping toes small nails and spinal anomalies such as sacral dimples 
41,HP:0001376,Limitation of joint mobility,2,233, div div div div div figcaption figure div div class floatdisplay div class inline table id tbl1 tabindex 0 div class inline table head div table border 0 cellpadding 0 cellspacing 0 class scrollable bordered width 100 thead tr th class rowsep strong case id strong th th class rowsep strong inheritance strong th th class rowsep strong gender strong th th class rowsep strong age years strong th th class rowsep strong prenatal and neonatal history strong th th class rowsep strong pn growth retardation strong th th class rowsep strong microcephaly strong th th class rowsep strong motor delay strong th th class rowsep strong speech delay strong th th class rowsep strong dd id strong th th class rowsep strong behavioral psychiatric and neurological features strong th th class rowsep strong malformations and physical anomalies strong th th class rowsep strong additional comments strong th tr thead tbody tr td class rowsep colspan 13 strong discovery cohort strong td tr tr td i td td dn td td m td td 4 td td sga and feeding difficulties td td y td td n td td y td td y td td mod td td possible absence and focal seizures td td vsd with tortuous aortic arch horseshoe kidney cryptorchidism bl inguinal hernia deep sacral dimple and bl single palmar creases td td early onset hypothyroidism limitation of joint mobility and cutis marmorata td tr tr td ii td td dn td td m td td 7 td td sga and feeding difficulties td td y td td n td td y td td y td td mild td td sociable empathetic hand flapping tendency and attention deficit td td rt pelvic kidney rt inguinal hernia and scoliosis 
42,HP:0000965,Cutis marmorata,2,234, div div div div div figcaption figure div div class floatdisplay div class inline table id tbl1 tabindex 0 div class inline table head div table border 0 cellpadding 0 cellspacing 0 class scrollable bordered width 100 thead tr th class rowsep strong case id strong th th class rowsep strong inheritance strong th th class rowsep strong gender strong th th class rowsep strong age years strong th th class rowsep strong prenatal and neonatal history strong th th class rowsep strong pn growth retardation strong th th class rowsep strong microcephaly strong th th class rowsep strong motor delay strong th th class rowsep strong speech delay strong th th class rowsep strong dd id strong th th class rowsep strong behavioral psychiatric and neurological features strong th th class rowsep strong malformations and physical anomalies strong th th class rowsep strong additional comments strong th tr thead tbody tr td class rowsep colspan 13 strong discovery cohort strong td tr tr td i td td dn td td m td td 4 td td sga and feeding difficulties td td y td td n td td y td td y td td mod td td possible absence and focal seizures td td vsd with tortuous aortic arch horseshoe kidney cryptorchidism bl inguinal hernia deep sacral dimple and bl single palmar creases td td early onset hypothyroidism limitation of joint mobility and cutis marmorata td tr tr td ii td td dn td td m td td 7 td td sga and feeding difficulties td td y td td n td td y td td y td td mild td td sociable empathetic hand flapping tendency and attention deficit td td rt pelvic kidney rt inguinal hernia and scoliosis 
43,HP:0000125,Pelvic kidney,2,238,these included four individuals with horseshoe kidneys and one each with unilateral renal agenesis pelvic kidney and kidney cysts 
44,HP:0012393,Allergy,2,243, td td perineal and scalp abscesses recurrent chest and ear infections allergies and nephrotic syndrome 
45,HP:0001943,Hypoglycemia,2,247, td tr tr td class rowsep xxiii td td class rowsep u td td class rowsep m td td class rowsep 23 td td class rowsep feeding difficulties and hypoglycemia td td class rowsep n td td class rowsep n td td class rowsep n td td class rowsep y td td class rowsep mod td td class rowsep anxious personality and schizophrenia 
46,HP:0002119,Ventriculomegaly,2,267, td td scoliosis td td glaucoma asthma and eczema td tr tr td class rowsep ivb td td class rowsep u td td class rowsep f td td class rowsep 68 td td class rowsep u td td class rowsep u td td class rowsep u td td class rowsep u td td class rowsep u td td class rowsep mild td td class rowsep u td td class rowsep horseshoe kidney with multiple cysts td td class rowsep hiatus hernia td tr tr td class rowsep colspan 13 strong validation cohort strong td tr tr td v td td dn td td f td td 13 td td sga and feeding difficulties td td y td td n td td y td td y td td mod td td sociable personality mild ventriculomegaly and multifocal small t2 hyperintensitites in the cerebral white matter td td vsd pda bl 5th finger clinodactyly bl 2 3 amp 
47,HP:0030732,Dysplastic tricuspid valve,2,287, div class dropblock reference citations sup sup div class dropblock holder data db target of bib25 d1601794e2018 div div div div class section paragraph congenital cardiac anomalies such as ventricular and atrial septal defects sub aortic stenosis tortuous arch total anomalous pulmonary venous drainage patent ductus arteriosus tricuspid valve dysplasia and ventricular dilatation were observed in 11 out of 22 50 individuals who were investigated by echocardiogram or post mortem examination 
48,HP:0004691,2-3 toe syndactyly,2,289, td td frequent otisis media gh deficiency and limitation of joint mobility td tr tr td vii td td dn td td f td td 12 td td sga hypotonia and feeding difficulties td td y td td y td td y td td y td td mod td td emotional problems and hypotonia td td tricuspid valve dysplasia 2 3 4 fingers and 2 3 toes syndactyly td td bl severe snhl and dorsal hypertrichosis td tr tr td viii td td dn td td m td td 7 td td sga hypotonia and feeding difficulties td td y td td n td td y td td y td td sev td td thin cc septum pellucidum cyst megacisterna magna mild ventricular dilation and subependymal heterotopia td td bl clap vsd lt extra nipple hypospadias ul cryptorchidism and sacral dimple td td cutis marmorata 
49,HP:0000998,Hypertrichosis,2,290, td td frequent otisis media gh deficiency and limitation of joint mobility td tr tr td vii td td dn td td f td td 12 td td sga hypotonia and feeding difficulties td td y td td y td td y td td y td td mod td td emotional problems and hypotonia td td tricuspid valve dysplasia 2 3 4 fingers and 2 3 toes syndactyly td td bl severe snhl and dorsal hypertrichosis td tr tr td viii td td dn td td m td td 7 td td sga hypotonia and feeding difficulties td td y td td n td td y td td y td td sev td td thin cc septum pellucidum cyst megacisterna magna mild ventricular dilation and subependymal heterotopia td td bl clap vsd lt extra nipple hypospadias ul cryptorchidism and sacral dimple td td cutis marmorata 
50,HP:0000047,Hypospadias,2,299,those males who lacked overt renal malformations still had a high frequency of anomalies such as inguinal hernias hypospadias micropenis urethral cyst and cryptorchidism 
51,HP:0012385,Camptodactyly,2,329, td td pierre robin sequence dislocated radial heads rt single palm crease fetal finger pads narrow fingernails brachydactyly and toe camptodactyly td td marked external rotation of hips hl 
52,HP:0001650,Aortic valve stenosis,2,336,published shimojima et al 2016 div class dropblock reference citations sup sup div class dropblock holder centered data db target of bib14 d1601794e569 div div 3 td tr tr td xii td td u td td f td td 21 td td n td td n td td n td td y td td y td td mild td td sociable personality attention deficit trichotillomania and seizures in early childhood td td vsd scoliosis clinodactyly short thumbs camptodactyly fetal finger pads tapering finger and 2 3 toe syndactyly td td asthma eczema reduced elbow and shoulder extension bl keratoconus and early lt posterior subcapsular cataract td tr tr td xiii td td dn td td f td td 2 td td sga td td y td td y td td y td td y td td mild td td n td td supra valvular aortic stenosis td td n td tr tr td xiv td td dn td td m td td 20 td td hypotonia and feeding difficulties td td u td td u td td y td td y td td mod td td empathetic personality and asd 
53,HP:0001156,Brachydactyly,2,344, td td pierre robin sequence dislocated radial heads rt single palm crease fetal finger pads narrow fingernails brachydactyly and toe camptodactyly td td marked external rotation of hips hl 
54,HP:0002808,Kyphosis,2,356, td td thoracic kyphosis and bl inguinal hernia td td delayed puberty and recurrent sinusitis td tr tr td xviia td td mat td td f td td 2 td td hypotonia and feeding difficulties 
55,HP:0000246,Sinusitis,2,358, td td chronic sinusitis td tr tr td xviii td td dn td td f td td 13 td td sga td td n td td n td td y td td y td td mild td td anxious personality and pathological demand avoidance td td gap between palate and posterior wall of pharynx 
56,HP:0011010,Chronic,2,360, td td n td td n td td y td td y td td mild td td hypotonia td td n td td chronic respiratory infections td tr tr td xviib td td u td td f td td 34 td td n td td y td td y td td n td td y td td mild td td acute psychosis age 10 attention deficit and infarction right frontal cortex td td fifth finger clinodactyly 
57,HP:0000126,Hydronephrosis,2,375,vesicouretric reflux and hydronephrosis were also seen in some individuals 
58,HP:0002120,Cerebral cortical atrophy,2,383,other neuroradiological features included cortical atrophy cerebral white matter hyperintensities a thin corpus callosum a septum pellucidum cyst megacisterna magna ventricular enlargement and hydrocephalus 
59,HP:0000104,Renal agenesis,2,408, td td class rowsep unilateral renal agenesis ectopic testis rectal stenosis umbilical hernia high palate kyphosis and scoliosis td td class rowsep n td tr tr td class rowsep colspan 13 strong point mutations strong td tr tr td xxiv td td dn td td m td td 12 td td feeding difficulties td td y td td y td td y td td n td td mod td td hyperactivity and dystonia td td tracheesophageal fistula esophageal atresia overlapping toes short foot and tapered fingers and pectus excavatum 
60,HP:0000122,Unilateral renal agenesis,2,408, td td class rowsep unilateral renal agenesis ectopic testis rectal stenosis umbilical hernia high palate kyphosis and scoliosis td td class rowsep n td tr tr td class rowsep colspan 13 strong point mutations strong td tr tr td xxiv td td dn td td m td td 12 td td feeding difficulties td td y td td y td td y td td n td td mod td td hyperactivity and dystonia td td tracheesophageal fistula esophageal atresia overlapping toes short foot and tapered fingers and pectus excavatum 
61,HP:0000752,Hyperactivity,2,414,some were reported to have autism spectrum or attention deficit hyperactivity disorders 
62,HP:0001371,Flexion contracture,2,424, td td hypertrichosis td tr tr td xxv td td dn td td f td td 14 td td feeding difficulties td td n td td y td td n td td y td td mild td td n td td lytic lesions in both parietal bones suggestive of congenital parietal foramina td td extra skin folds on abdomen and back td tr tr td xxvi td td dn td td m td td 18 td td n td td n td td n td td y td td y td td mild td td slight social inhibition td td atrial septal defect and pectus deformity td td bl snhl distal interphalangeal joint contracture of left 5 sup th sup finger bl knee flexion contractures mild weakness in ankle plantar flexion 
63,HP:0002803,Congenital contracture,2,424, td td hypertrichosis td tr tr td xxv td td dn td td f td td 14 td td feeding difficulties td td n td td y td td n td td y td td mild td td n td td lytic lesions in both parietal bones suggestive of congenital parietal foramina td td extra skin folds on abdomen and back td tr tr td xxvi td td dn td td m td td 18 td td n td td n td td n td td y td td y td td mild td td slight social inhibition td td atrial septal defect and pectus deformity td td bl snhl distal interphalangeal joint contracture of left 5 sup th sup finger bl knee flexion contractures mild weakness in ankle plantar flexion 
64,HP:0410030,Cleft lip,2,437,clap cleft lip and palate 
65,HP:0001643,Patent ductus arteriosus,2,466, div class dropblock reference citations sup sup div class dropblock holder data db target of bib25 d1601794e2018 div div div div class section paragraph congenital cardiac anomalies such as ventricular and atrial septal defects sub aortic stenosis tortuous arch total anomalous pulmonary venous drainage patent ductus arteriosus tricuspid valve dysplasia and ventricular dilatation were observed in 11 out of 22 50 individuals who were investigated by echocardiogram or post mortem examination 
66,HP:0002624,Abnormal venous morphology,2,480,tapvd total anomalous pulmonary venous drainage 
67,HP:0005160,Total anomalous pulmonary venous return,2,480,tapvd total anomalous pulmonary venous drainage 
68,HP:0012721,Venous malformation,2,480,tapvd total anomalous pulmonary venous drainage 
69,HP:0000077,Abnormality of the kidney,2,734,those males who lacked overt renal malformations still had a high frequency of anomalies such as inguinal hernias hypospadias micropenis urethral cyst and cryptorchidism 
70,HP:0000316,Hypertelorism,2,778, div class dropblock reference citations sup sup div class dropblock holder data db target of bib17 d1601794e2038 div div div div class section paragraph the individuals described here have overlapping dysmorphism with interrupted wavy eyebrows dense eyelashes hypertelorism a wide nose a wide mouth and a prominent chin 
71,HP:0000589,Coloboma,1,13,in humans postulated gain of function missense mutations cause baraitser winter syndrome brws characterized by intellectual disability cortical malformations coloboma sensorineural deafness and typical facial features 
72,HP:0012553,Hypoplastic thumbnail,1,90, div class floatdisplay figure class id fig1 tabindex 0 img alt figure thumbnail gr1 class b lazy data high res els jbs prod cdn jbs elsevierhealth com cms attachment 06ae3ba0 7533 461c a812 2c8355620e4c gr1 lrg jpg data large image els jbs prod cdn jbs elsevierhealth com cms attachment 7a1de578 7500 4f8b bcda 8ff200b4a9fa gr1 jpg data locator fig1 data src els jbs prod cdn jbs elsevierhealth com cms attachment 7a1de578 7500 4f8b bcda 8ff200b4a9fa gr1 jpg figcaption div class figure caption body div class figure title div div class accordion div class accordion content div class figure caption text div class section paragraph a discovery cohort a representation of chromosome 7 with four small 7p22 1 deletions identified in the discovery cohort 
73,HP:0000271,Abnormality of the face,1,190, div class floatdisplay figure class id fig2 tabindex 0 img alt figure thumbnail gr2 class b lazy data high res els jbs prod cdn jbs elsevierhealth com cms attachment f3feca4a f6d2 4697 937d 2614141f685d gr2 lrg jpg data large image els jbs prod cdn jbs elsevierhealth com cms attachment 678c9878 204e 4d8b 9dbb 29a134541c65 gr2 jpg data locator fig2 data src els jbs prod cdn jbs elsevierhealth com cms attachment 678c9878 204e 4d8b 9dbb 29a134541c65 gr2 jpg figcaption div class figure caption body div class figure title div div class accordion div class accordion content div class figure caption text div class section paragraph a facial gestalt and physical anomalies with em actb em loss of function mutations the facial features of a number of individuals who had 7p22 1 deletions or point mutations marked with sup sup in em actb em were remarkably similar to each other 
74,HP:0000005,Mode of inheritance,1,220, div div div div div figcaption figure div div class floatdisplay div class inline table id tbl1 tabindex 0 div class inline table head div table border 0 cellpadding 0 cellspacing 0 class scrollable bordered width 100 thead tr th class rowsep strong case id strong th th class rowsep strong inheritance strong th th class rowsep strong gender strong th th class rowsep strong age years strong th th class rowsep strong prenatal and neonatal history strong th th class rowsep strong pn growth retardation strong th th class rowsep strong microcephaly strong th th class rowsep strong motor delay strong th th class rowsep strong speech delay strong th th class rowsep strong dd id strong th th class rowsep strong behavioral psychiatric and neurological features strong th th class rowsep strong malformations and physical anomalies strong th th class rowsep strong additional comments strong th tr thead tbody tr td class rowsep colspan 13 strong discovery cohort strong td tr tr td i td td dn td td m td td 4 td td sga and feeding difficulties td td y td td n td td y td td y td td mod td td possible absence and focal seizures td td vsd with tortuous aortic arch horseshoe kidney cryptorchidism bl inguinal hernia deep sacral dimple and bl single palmar creases td td early onset hypothyroidism limitation of joint mobility and cutis marmorata td tr tr td ii td td dn td td m td td 7 td td sga and feeding difficulties td td y td td n td td y td td y td td mild td td sociable empathetic hand flapping tendency and attention deficit td td rt pelvic kidney rt inguinal hernia and scoliosis 
75,HP:0000252,Microcephaly,1,221, div div div div div figcaption figure div div class floatdisplay div class inline table id tbl1 tabindex 0 div class inline table head div table border 0 cellpadding 0 cellspacing 0 class scrollable bordered width 100 thead tr th class rowsep strong case id strong th th class rowsep strong inheritance strong th th class rowsep strong gender strong th th class rowsep strong age years strong th th class rowsep strong prenatal and neonatal history strong th th class rowsep strong pn growth retardation strong th th class rowsep strong microcephaly strong th th class rowsep strong motor delay strong th th class rowsep strong speech delay strong th th class rowsep strong dd id strong th th class rowsep strong behavioral psychiatric and neurological features strong th th class rowsep strong malformations and physical anomalies strong th th class rowsep strong additional comments strong th tr thead tbody tr td class rowsep colspan 13 strong discovery cohort strong td tr tr td i td td dn td td m td td 4 td td sga and feeding difficulties td td y td td n td td y td td y td td mod td td possible absence and focal seizures td td vsd with tortuous aortic arch horseshoe kidney cryptorchidism bl inguinal hernia deep sacral dimple and bl single palmar creases td td early onset hypothyroidism limitation of joint mobility and cutis marmorata td tr tr td ii td td dn td td m td td 7 td td sga and feeding difficulties td td y td td n td td y td td y td td mild td td sociable empathetic hand flapping tendency and attention deficit td td rt pelvic kidney rt inguinal hernia and scoliosis 
