,HPO ID,Phenotype name,No. occurrences,Earliness (lower = earlier),Example sentence
25,HP:0002282,Gray matter heterotopia,2,212,actin filaments are a major structural component of synapses and are critical for synaptic plasticity which directly influences neurodevelopment cognitive performance and social behavior div class dropblock reference citations div class dropblock holder data db target of bib23 d7663730e2005 div div div class dropblock reference citations div class dropblock holder data db target of bib24 d7663730e2005 div div this could explain the developmental and behavioral phenotype of affected individuals div div class section paragraph among ten individuals who were investigated with brain magnetic resonance imaging eight 80 were detected to have some abnormality including gray matter heterotopias in two individuals 
26,HP:0002120,Cerebral cortical atrophy,2,217,other neuroradiological features included cortical atrophy cerebral white matter hyperintensities a thin corpus callosum a septum pellucidum cyst megacisterna magna ventricular enlargement and hydrocephalus 
27,HP:0030890,Hyperintensity of cerebral white matter on MRI,2,218,other neuroradiological features included cortical atrophy cerebral white matter hyperintensities a thin corpus callosum a septum pellucidum cyst megacisterna magna ventricular enlargement and hydrocephalus 
28,HP:0002079,Hypoplasia of the corpus callosum,2,219,other neuroradiological features included cortical atrophy cerebral white matter hyperintensities a thin corpus callosum a septum pellucidum cyst megacisterna magna ventricular enlargement and hydrocephalus 
29,HP:0000238,Hydrocephalus,2,224,other neuroradiological features included cortical atrophy cerebral white matter hyperintensities a thin corpus callosum a septum pellucidum cyst megacisterna magna ventricular enlargement and hydrocephalus 
30,HP:0001250,Seizure,2,225,seizures were reported in a minor subset of individuals and one individual had dystonia 
31,HP:0001626,Abnormality of the cardiovascular system,2,228,delayed onset generalized dystonia has been reported in monozygotic twins with an em actb em p arg183trp mutation div class dropblock reference citations div class dropblock holder data db target of bib25 d7663730e2018 div div div div class section paragraph congenital cardiac anomalies such as ventricular and atrial septal defects sub aortic stenosis tortuous arch total anomalous pulmonary venous drainage patent ductus arteriosus tricuspid valve dysplasia and ventricular dilatation were observed in 11 out of 22 50 individuals who were investigated by echocardiogram or post mortem examination 
32,HP:0007325,Generalized dystonia,2,228,delayed onset generalized dystonia has been reported in monozygotic twins with an em actb em p arg183trp mutation div class dropblock reference citations div class dropblock holder data db target of bib25 d7663730e2018 div div div div class section paragraph congenital cardiac anomalies such as ventricular and atrial septal defects sub aortic stenosis tortuous arch total anomalous pulmonary venous drainage patent ductus arteriosus tricuspid valve dysplasia and ventricular dilatation were observed in 11 out of 22 50 individuals who were investigated by echocardiogram or post mortem examination 
33,HP:0001631,Atrial septal defect,2,229,delayed onset generalized dystonia has been reported in monozygotic twins with an em actb em p arg183trp mutation div class dropblock reference citations div class dropblock holder data db target of bib25 d7663730e2018 div div div div class section paragraph congenital cardiac anomalies such as ventricular and atrial septal defects sub aortic stenosis tortuous arch total anomalous pulmonary venous drainage patent ductus arteriosus tricuspid valve dysplasia and ventricular dilatation were observed in 11 out of 22 50 individuals who were investigated by echocardiogram or post mortem examination 
34,HP:0001671,Abnormal cardiac septum morphology,2,229,delayed onset generalized dystonia has been reported in monozygotic twins with an em actb em p arg183trp mutation div class dropblock reference citations div class dropblock holder data db target of bib25 d7663730e2018 div div div div class section paragraph congenital cardiac anomalies such as ventricular and atrial septal defects sub aortic stenosis tortuous arch total anomalous pulmonary venous drainage patent ductus arteriosus tricuspid valve dysplasia and ventricular dilatation were observed in 11 out of 22 50 individuals who were investigated by echocardiogram or post mortem examination 
35,HP:0001650,Aortic valve stenosis,2,230,delayed onset generalized dystonia has been reported in monozygotic twins with an em actb em p arg183trp mutation div class dropblock reference citations div class dropblock holder data db target of bib25 d7663730e2018 div div div div class section paragraph congenital cardiac anomalies such as ventricular and atrial septal defects sub aortic stenosis tortuous arch total anomalous pulmonary venous drainage patent ductus arteriosus tricuspid valve dysplasia and ventricular dilatation were observed in 11 out of 22 50 individuals who were investigated by echocardiogram or post mortem examination 
36,HP:0002624,Abnormal venous morphology,2,232,delayed onset generalized dystonia has been reported in monozygotic twins with an em actb em p arg183trp mutation div class dropblock reference citations div class dropblock holder data db target of bib25 d7663730e2018 div div div div class section paragraph congenital cardiac anomalies such as ventricular and atrial septal defects sub aortic stenosis tortuous arch total anomalous pulmonary venous drainage patent ductus arteriosus tricuspid valve dysplasia and ventricular dilatation were observed in 11 out of 22 50 individuals who were investigated by echocardiogram or post mortem examination 
37,HP:0005160,Total anomalous pulmonary venous return,2,232,delayed onset generalized dystonia has been reported in monozygotic twins with an em actb em p arg183trp mutation div class dropblock reference citations div class dropblock holder data db target of bib25 d7663730e2018 div div div div class section paragraph congenital cardiac anomalies such as ventricular and atrial septal defects sub aortic stenosis tortuous arch total anomalous pulmonary venous drainage patent ductus arteriosus tricuspid valve dysplasia and ventricular dilatation were observed in 11 out of 22 50 individuals who were investigated by echocardiogram or post mortem examination 
38,HP:0012721,Venous malformation,2,232,delayed onset generalized dystonia has been reported in monozygotic twins with an em actb em p arg183trp mutation div class dropblock reference citations div class dropblock holder data db target of bib25 d7663730e2018 div div div div class section paragraph congenital cardiac anomalies such as ventricular and atrial septal defects sub aortic stenosis tortuous arch total anomalous pulmonary venous drainage patent ductus arteriosus tricuspid valve dysplasia and ventricular dilatation were observed in 11 out of 22 50 individuals who were investigated by echocardiogram or post mortem examination 
39,HP:0001643,Patent ductus arteriosus,2,233,delayed onset generalized dystonia has been reported in monozygotic twins with an em actb em p arg183trp mutation div class dropblock reference citations div class dropblock holder data db target of bib25 d7663730e2018 div div div div class section paragraph congenital cardiac anomalies such as ventricular and atrial septal defects sub aortic stenosis tortuous arch total anomalous pulmonary venous drainage patent ductus arteriosus tricuspid valve dysplasia and ventricular dilatation were observed in 11 out of 22 50 individuals who were investigated by echocardiogram or post mortem examination 
40,HP:0001702,Abnormal tricuspid valve morphology,2,234,delayed onset generalized dystonia has been reported in monozygotic twins with an em actb em p arg183trp mutation div class dropblock reference citations div class dropblock holder data db target of bib25 d7663730e2018 div div div div class section paragraph congenital cardiac anomalies such as ventricular and atrial septal defects sub aortic stenosis tortuous arch total anomalous pulmonary venous drainage patent ductus arteriosus tricuspid valve dysplasia and ventricular dilatation were observed in 11 out of 22 50 individuals who were investigated by echocardiogram or post mortem examination 
41,HP:0030732,Dysplastic tricuspid valve,2,234,delayed onset generalized dystonia has been reported in monozygotic twins with an em actb em p arg183trp mutation div class dropblock reference citations div class dropblock holder data db target of bib25 d7663730e2018 div div div div class section paragraph congenital cardiac anomalies such as ventricular and atrial septal defects sub aortic stenosis tortuous arch total anomalous pulmonary venous drainage patent ductus arteriosus tricuspid valve dysplasia and ventricular dilatation were observed in 11 out of 22 50 individuals who were investigated by echocardiogram or post mortem examination 
42,HP:0002119,Ventriculomegaly,2,236,delayed onset generalized dystonia has been reported in monozygotic twins with an em actb em p arg183trp mutation div class dropblock reference citations div class dropblock holder data db target of bib25 d7663730e2018 div div div div class section paragraph congenital cardiac anomalies such as ventricular and atrial septal defects sub aortic stenosis tortuous arch total anomalous pulmonary venous drainage patent ductus arteriosus tricuspid valve dysplasia and ventricular dilatation were observed in 11 out of 22 50 individuals who were investigated by echocardiogram or post mortem examination 
43,HP:0002617,Dilatation,2,236,delayed onset generalized dystonia has been reported in monozygotic twins with an em actb em p arg183trp mutation div class dropblock reference citations div class dropblock holder data db target of bib25 d7663730e2018 div div div div class section paragraph congenital cardiac anomalies such as ventricular and atrial septal defects sub aortic stenosis tortuous arch total anomalous pulmonary venous drainage patent ductus arteriosus tricuspid valve dysplasia and ventricular dilatation were observed in 11 out of 22 50 individuals who were investigated by echocardiogram or post mortem examination 
44,HP:0000085,Horseshoe kidney,2,238,these included four individuals with horseshoe kidneys and one each with unilateral renal agenesis pelvic kidney and kidney cysts 
45,HP:0000104,Renal agenesis,2,240,these included four individuals with horseshoe kidneys and one each with unilateral renal agenesis pelvic kidney and kidney cysts 
46,HP:0000122,Unilateral renal agenesis,2,240,these included four individuals with horseshoe kidneys and one each with unilateral renal agenesis pelvic kidney and kidney cysts 
47,HP:0000125,Pelvic kidney,2,241,these included four individuals with horseshoe kidneys and one each with unilateral renal agenesis pelvic kidney and kidney cysts 
48,HP:0000107,Renal cyst,2,243,these included four individuals with horseshoe kidneys and one each with unilateral renal agenesis pelvic kidney and kidney cysts 
49,HP:0000126,Hydronephrosis,2,245,vesicouretric reflux and hydronephrosis were also seen in some individuals 
50,HP:0012210,Abnormal renal morphology,2,247,those males who lacked overt renal malformations still had a high frequency of anomalies such as inguinal hernias hypospadias micropenis urethral cyst and cryptorchidism 
51,HP:0000023,Inguinal hernia,2,248,those males who lacked overt renal malformations still had a high frequency of anomalies such as inguinal hernias hypospadias micropenis urethral cyst and cryptorchidism 
52,HP:0100790,Hernia,2,248,those males who lacked overt renal malformations still had a high frequency of anomalies such as inguinal hernias hypospadias micropenis urethral cyst and cryptorchidism 
53,HP:0000047,Hypospadias,2,249,those males who lacked overt renal malformations still had a high frequency of anomalies such as inguinal hernias hypospadias micropenis urethral cyst and cryptorchidism 
54,HP:0000054,Micropenis,2,250,those males who lacked overt renal malformations still had a high frequency of anomalies such as inguinal hernias hypospadias micropenis urethral cyst and cryptorchidism 
55,HP:0000028,Cryptorchidism,2,252,those males who lacked overt renal malformations still had a high frequency of anomalies such as inguinal hernias hypospadias micropenis urethral cyst and cryptorchidism 
56,HP:0000174,Abnormal palate morphology,2,254,spinal and palatal anomalies were also detected in six and four individuals respectively 
57,HP:0000356,Abnormality of the outer ear,2,327,of note the pli score for em actg1 em is 0 22 which decreases the likelihood that heterozygous loss of function mutations in this gene are a cause of an early onset human disorder 
58,HP:0000598,Abnormality of the ear,2,327,of note the pli score for em actg1 em is 0 22 which decreases the likelihood that heterozygous loss of function mutations in this gene are a cause of an early onset human disorder 
